,TargetB,ID,TargetD,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemIncomeGroup,DemMedHomeValue,DemPctVeterans
0,1,00000012,10.0,4,25,2,12,17.0,15.0,14.72,15.0,7,122,21,38,90,7,15,32,S,1,45,79.0,M,H,7.0,33400,41
1,0,00000053,,3,20,3,8,20.0,18.67,11.0,18.67,21,91,18,36,72,7,18,29,A,1,50,71.0,M,H,5.0,37600,17
2,1,00000067,5.0,8,20,4,8,5.0,5.0,5.05,5.0,9,91,24,44,89,9,18,33,A,1,28,79.0,F,H,1.0,100400,44
3,1,00000071,16.0,5,22,4,13,8.0,8.6,6.82,8.5,9,91,27,41,62,11,18,27,S,1,43,63.0,F,H,4.0,39900,33
4,1,00000142,3.0,7,31,5,14,10.0,10.0,6.0,10.0,22,129,22,42,110,9,19,44,S,1,43,,F,U,,47500,30
5,1,00000159,12.0,11,29,5,7,15.0,9.64,9.31,9.8,6,89,29,51,90,11,22,33,A,1,45,81.0,M,U,4.0,53000,34
6,0,00000186,,12,76,4,23,11.0,10.83,8.82,11.0,15,125,28,50,131,10,21,46,S,1,00,,F,U,,91000,0
7,0,00000210,,7,26,3,10,10.0,11.57,9.81,10.67,12,92,21,39,96,8,17,33,S,1,16,69.0,F,H,3.0,66300,25
8,1,00000220,8.0,7,22,4,11,7.0,6.14,5.55,6.0,5,87,25,41,79,9,16,29,S,1,30,45.0,M,H,2.0,55000,49
9,1,00000250,15.0,7,24,4,10,12.0,12.86,10.88,12.5,17,87,23,43,94,11,22,39,A,1,20,87.0,F,U,1.0,46900,46
10,0,00000257,,1,14,0,3,19.0,19.0,11.71,,25,87,12,26,49,5,5,19,A,0,00,55.0,F,H,4.0,49000,0
11,1,00000263,10.0,5,16,5,11,14.0,14.0,11.63,14.0,5,87,29,50,91,11,21,33,A,1,34,77.0,U,U,,215600,42
12,1,00000268,33.0,8,21,5,7,35.0,25.88,22.38,27.0,8,87,27,49,107,11,22,40,A,0,23,37.0,F,U,5.0,176500,50
13,1,00000282,20.0,1,9,1,1,20.0,20.0,8.44,20.0,20,87,14,27,39,5,10,13,F,0,35,30.0,M,H,6.0,111700,27
14,0,00000325,,2,10,2,6,35.0,32.5,20.9,32.5,15,87,24,41,58,10,19,26,S,1,10,37.0,F,H,6.0,543500,29
15,1,00000341,25.0,4,27,1,5,15.0,14.0,11.0,11.0,7,86,26,46,106,9,18,37,A,1,49,67.0,F,U,,51700,27
16,1,00000364,10.0,6,21,2,4,10.0,13.0,13.52,13.0,18,85,21,42,70,9,19,26,S,1,01,59.0,F,H,5.0,310000,20
17,1,00000368,10.0,6,38,4,22,10.0,8.83,6.5,8.75,19,129,24,42,114,10,19,42,A,1,02,75.0,M,H,6.0,225700,43
18,0,00000383,,2,9,0,2,20.0,19.0,18.11,,15,85,22,42,68,9,9,28,A,0,14,,M,U,,243900,34
19,1,00000387,5.0,5,12,2,2,5.0,5.4,5.83,6.0,18,85,12,30,43,5,14,15,A,0,40,,F,U,2.0,78900,31
20,1,00000397,16.0,1,7,0,2,16.0,16.0,15.86,,20,84,15,30,60,4,4,18,A,0,02,79.0,F,H,7.0,185700,25
21,1,00000403,35.0,1,10,1,4,35.0,20.0,33.5,20.0,7,83,21,37,52,8,16,21,A,0,00,58.0,U,U,2.0,76500,0
22,1,00000427,10.0,3,11,3,5,10.0,10.0,9.55,10.0,18,80,15,35,59,6,17,25,A,0,28,,M,U,,70900,39
23,1,00000441,10.0,11,28,4,7,5.0,5.0,5.5,5.0,8,80,25,47,90,11,22,34,S,1,10,56.0,F,U,1.0,55000,19
24,0,00000458,,3,15,3,8,15.0,15.0,9.67,15.0,25,124,14,36,60,7,18,25,S,1,37,80.0,F,U,,168800,33
25,1,00000511,12.0,3,10,1,2,10.0,13.33,10.0,10.0,6,78,22,38,58,9,17,22,A,0,15,82.0,F,U,4.0,102400,22
26,0,00000527,,8,23,5,12,5.0,7.88,5.78,7.4,13,78,24,46,76,10,21,32,A,1,39,64.0,F,H,2.0,68400,32
27,0,00000539,,1,6,0,2,33.0,33.0,28.83,,26,78,19,35,54,8,8,23,A,0,14,75.0,M,H,5.0,200300,27
28,1,00000542,10.0,1,7,0,4,15.0,15.0,6.29,,24,77,10,27,38,4,4,16,A,0,38,,M,U,,53500,21
29,0,00000544,,3,16,1,7,15.0,11.67,8.88,10.0,18,78,26,46,97,11,20,38,A,1,00,58.0,F,U,2.0,26600,0
30,0,00000545,,4,14,1,4,10.0,13.0,10.86,16.0,17,111,22,41,90,8,17,39,A,0,18,48.0,F,H,2.0,122100,31
31,1,00000551,20.0,1,24,1,10,21.0,16.0,15.33,16.0,9,119,15,31,89,7,17,39,A,1,36,85.0,F,H,2.0,34000,29
32,1,00000557,15.0,11,37,7,16,11.0,11.27,8.86,10.57,4,77,27,46,78,8,18,25,A,0,48,,F,H,2.0,78900,47
33,0,00000564,,4,10,4,7,18.0,30.0,21.0,30.0,16,79,24,40,56,11,20,25,A,1,24,59.0,F,H,7.0,257300,30
34,1,00000578,10.0,4,13,1,4,10.0,12.5,7.38,10.0,4,78,27,42,58,11,18,23,A,1,18,,F,U,,182100,24
35,1,00000591,25.0,5,12,4,6,20.0,29.0,26.25,28.25,16,109,28,48,108,11,22,43,A,1,37,80.0,M,H,5.0,71100,58
36,1,00000637,25.0,7,27,4,11,20.0,19.57,15.52,21.0,6,80,25,45,93,9,20,34,A,1,13,81.0,F,H,4.0,286500,33
37,1,00000661,20.0,7,17,6,12,25.0,20.14,19.47,20.0,10,73,26,47,90,11,21,32,A,1,05,32.0,M,H,6.0,180100,37
38,0,00000665,,3,12,0,1,15.0,18.33,13.67,,16,73,27,48,75,11,11,29,A,0,40,53.0,F,H,3.0,74200,35
39,1,00000675,15.0,2,23,1,13,15.0,13.5,8.92,15.0,21,100,17,37,87,7,16,32,S,1,34,82.0,F,H,5.0,171400,29
40,1,00000683,5.0,10,52,7,26,5.0,5.1,4.75,5.29,20,118,26,45,131,11,21,51,N,1,14,79.0,F,U,,225700,33
41,0,00000687,,11,18,7,8,8.0,6.18,5.78,5.57,17,68,22,41,76,10,20,30,A,1,12,73.0,M,H,7.0,140700,29
42,0,00000701,,6,27,4,14,50.0,30.0,23.89,26.25,6,121,27,47,124,10,21,46,S,1,45,,F,U,,40700,30
43,0,00000714,,8,30,6,14,38.0,26.38,15.1,27.5,21,76,25,47,106,11,22,39,S,1,19,33.0,F,H,6.0,205100,18
44,1,00000718,35.0,3,16,1,4,36.0,40.67,22.56,36.0,18,105,22,42,86,9,20,31,A,0,27,75.0,F,H,3.0,121500,33
45,1,00000727,2.0,10,23,8,13,2.0,2.8,2.26,2.75,7,69,18,39,64,10,20,28,A,1,51,73.0,F,H,3.0,24000,27
46,1,00000751,11.0,4,25,3,16,10.0,10.25,7.68,10.33,23,122,22,44,107,8,19,45,A,1,02,67.0,F,U,,225000,36
47,1,00000785,18.0,1,6,0,3,20.0,15.0,17.5,,5,66,19,35,49,7,7,19,A,0,22,52.0,M,U,2.0,61300,12
48,1,00000790,15.0,1,11,0,4,15.0,15.0,8.36,,18,68,16,35,67,5,5,24,A,1,46,71.0,M,U,5.0,58000,29
49,1,00000793,15.0,4,21,1,7,16.0,14.0,10.19,12.0,15,123,16,34,103,4,12,37,E,1,17,87.0,F,H,5.0,156800,26
50,0,00000804,,4,25,2,8,7.0,6.0,4.56,7.0,21,124,13,34,93,6,16,38,A,1,11,7.0,F,H,5.0,122700,36
51,0,00000826,,9,19,8,11,16.0,13.11,11.58,12.88,4,65,21,39,72,7,16,22,A,1,41,17.0,F,U,,34800,45
52,1,00000894,40.0,10,34,5,12,21.0,19.4,17.06,18.8,4,64,35,55,105,11,22,36,S,1,27,57.0,M,H,5.0,86000,40
53,0,00000898,,4,18,2,6,10.0,9.75,6.78,10.0,19,67,15,36,76,6,16,28,S,1,49,78.0,F,H,2.0,38800,29
54,0,00000903,,4,10,4,4,5.0,5.75,4.2,5.75,16,64,14,32,33,6,14,13,A,1,25,,F,U,1.0,52800,19
55,0,00000905,,1,5,0,1,15.0,15.0,10.2,,18,64,14,30,54,4,4,18,A,0,35,65.0,M,H,4.0,162900,26
